enrich_id,customer_id,scraped_date,web_context_summary,industry_growth_sentiment,competitor_mention_count,recent_news_flag,digital_presence_score,business_health_indicator,enrichment_tier
ENR-00045-001,SME-2024-00045,2026-06-15,Ekspansi bisnis dan rekrutmen karyawan baru teramati di semester berjalan,Netral,1,True,52,Growing,Tier-2 Sector-Regional Proxy
ENR-00046-001,SME-2024-00046,2026-06-15,Perusahaan Media & Kreatif menunjukkan tren stable berdasarkan aktivitas digital,Positif,1,False,72,Stable,Tier-1 Entity Lookup
ENR-00047-001,SME-2024-00047,2026-06-15,Operasional bisnis berjalan stabil tanpa anomali signifikan,Positif,0,True,42,Stable,Tier-2 Sector-Regional Proxy
ENR-00048-001,SME-2024-00048,2026-06-15,Konten negatif terkait keluhan pelanggan terdeteksi di kanal publik,Positif,1,False,73,Declining,Tier-2 Sector-Regional Proxy
ENR-00049-001,SME-2024-00049,2026-06-15,Operasional bisnis berjalan stabil tanpa anomali signifikan,Positif,1,True,36,Stable,Tier-2 Sector-Regional Proxy
ENR-00050-001,SME-2024-00050,2026-06-15,Kolaborasi strategis dengan ekosistem Telkom Group,Positif,1,False,33,Growing,Tier-2 Sector-Regional Proxy
ENR-00051-001,SME-2024-00051,2026-06-15,Perusahaan Kesehatan menunjukkan tren stable berdasarkan aktivitas digital,Netral,2,False,95,Stable,Tier-1 Entity Lookup
ENR-00052-001,SME-2024-00052,2026-06-15,Penambahan cabang dan peningkatan aktivitas digital terdeteksi,Netral,1,True,65,Growing,Tier-1 Entity Lookup
ENR-00053-001,SME-2024-00053,2026-06-15,"Pertumbuhan digital moderat, tidak ada indikator risiko",Positif,1,False,77,Stable,Tier-1 Entity Lookup
ENR-00054-001,SME-2024-00054,2026-06-15,Operasional bisnis berjalan stabil tanpa anomali signifikan,Netral,1,False,68,Stable,Tier-2 Sector-Regional Proxy
ENR-00055-001,SME-2024-00055,2026-06-15,Menang tender proyek infrastruktur pemerintah,Positif,1,False,73,Growing,Tier-1 Entity Lookup
ENR-00056-001,SME-2024-00056,2026-06-15,Perusahaan Jasa Keuangan menunjukkan tren stable berdasarkan aktivitas digital,Netral,2,True,80,Stable,Tier-1 Entity Lookup
ENR-00057-001,SME-2024-00057,2026-06-15,Penurunan aktivitas digital dan eksposur publik teramati,Netral,0,True,42,Declining,Tier-2 Sector-Regional Proxy
ENR-00058-001,SME-2024-00058,2026-06-15,Kolaborasi strategis dengan ekosistem Telkom Group,Netral,0,True,52,Growing,Tier-2 Sector-Regional Proxy
ENR-00059-001,SME-2024-00059,2026-06-15,Menang tender proyek infrastruktur pemerintah,Netral,0,False,67,Growing,Tier-1 Entity Lookup
ENR-00060-001,SME-2024-00060,2026-06-15,Penambahan cabang dan peningkatan aktivitas digital terdeteksi,Positif,0,False,53,Growing,Tier-2 Sector-Regional Proxy
ENR-00061-001,SME-2024-00061,2026-06-15,Perusahaan Jasa Keuangan menunjukkan tren stable berdasarkan aktivitas digital,Positif,1,False,38,Stable,Tier-2 Sector-Regional Proxy
ENR-00062-001,SME-2024-00062,2026-06-15,"Pertumbuhan digital moderat, tidak ada indikator risiko",Positif,1,True,22,Stable,Tier-2 Sector-Regional Proxy
ENR-00063-001,SME-2024-00063,2026-06-15,Perusahaan Manufaktur menunjukkan tren stable berdasarkan aktivitas digital,Positif,2,False,61,Stable,Tier-2 Sector-Regional Proxy
ENR-00064-001,SME-2024-00064,2026-06-15,Perusahaan Konstruksi menunjukkan tren stable berdasarkan aktivitas digital,Netral,0,True,35,Stable,Tier-2 Sector-Regional Proxy
ENR-00065-001,SME-2024-00065,2026-06-15,Kolaborasi strategis dengan ekosistem Telkom Group,Netral,1,False,86,Growing,Tier-1 Entity Lookup
ENR-00066-001,SME-2024-00066,2026-06-15,"Pertumbuhan digital moderat, tidak ada indikator risiko",Negatif,1,False,25,Stable,Tier-2 Sector-Regional Proxy
ENR-00067-001,SME-2024-00067,2026-06-15,Ekspansi bisnis dan rekrutmen karyawan baru teramati di semester berjalan,Netral,0,False,50,Growing,Tier-2 Sector-Regional Proxy
ENR-00068-001,SME-2024-00068,2026-06-15,Kolaborasi strategis dengan ekosistem Telkom Group,Positif,1,False,47,Growing,Tier-2 Sector-Regional Proxy
ENR-00069-001,SME-2024-00069,2026-06-15,Menang tender proyek infrastruktur pemerintah,Positif,3,True,75,Growing,Tier-1 Entity Lookup
ENR-00070-001,SME-2024-00070,2026-06-15,Operasional bisnis berjalan stabil tanpa anomali signifikan,Positif,0,False,59,Stable,Tier-2 Sector-Regional Proxy
ENR-00071-001,SME-2024-00071,2026-06-15,Ekspansi bisnis dan rekrutmen karyawan baru teramati di semester berjalan,Negatif,1,False,57,Growing,Tier-1 Entity Lookup
ENR-00072-001,SME-2024-00072,2026-06-15,Kolaborasi strategis dengan ekosistem Telkom Group,Netral,0,False,38,Growing,Tier-2 Sector-Regional Proxy
ENR-00073-001,SME-2024-00073,2026-06-15,Penambahan cabang dan peningkatan aktivitas digital terdeteksi,Positif,1,True,48,Growing,Tier-2 Sector-Regional Proxy
ENR-00074-001,SME-2024-00074,2026-06-15,Konten negatif terkait keluhan pelanggan terdeteksi di kanal publik,Negatif,1,False,60,Declining,Tier-2 Sector-Regional Proxy
ENR-00075-001,SME-2024-00075,2026-06-15,Menang tender proyek infrastruktur pemerintah,Netral,0,True,59,Growing,Tier-2 Sector-Regional Proxy
ENR-00076-001,SME-2024-00076,2026-06-15,"Pertumbuhan digital moderat, tidak ada indikator risiko",Positif,0,False,44,Stable,Tier-2 Sector-Regional Proxy
ENR-00077-001,SME-2024-00077,2026-06-15,Operasional bisnis berjalan stabil tanpa anomali signifikan,Netral,1,False,53,Stable,Tier-2 Sector-Regional Proxy
ENR-00078-001,SME-2024-00078,2026-06-15,"Pertumbuhan digital moderat, tidak ada indikator risiko",Netral,0,False,55,Stable,Tier-2 Sector-Regional Proxy
ENR-00079-001,SME-2024-00079,2026-06-15,Operasional bisnis berjalan stabil tanpa anomali signifikan,Positif,0,False,60,Stable,Tier-2 Sector-Regional Proxy
ENR-00080-001,SME-2024-00080,2026-06-15,Perusahaan Kuliner & F&B menunjukkan tren stable berdasarkan aktivitas digital,Netral,1,False,50,Stable,Tier-2 Sector-Regional Proxy
ENR-00081-001,SME-2024-00081,2026-06-15,Penambahan cabang dan peningkatan aktivitas digital terdeteksi,Netral,0,True,59,Growing,Tier-2 Sector-Regional Proxy
ENR-00082-001,SME-2024-00082,2026-06-15,"Pertumbuhan digital moderat, tidak ada indikator risiko",Positif,0,False,27,Stable,Tier-2 Sector-Regional Proxy
ENR-00083-001,SME-2024-00083,2026-06-15,Perusahaan Konstruksi menunjukkan tren stable berdasarkan aktivitas digital,Netral,1,False,28,Stable,Tier-2 Sector-Regional Proxy
ENR-00084-001,SME-2024-00084,2026-06-15,Perusahaan Transportasi & Logistik menunjukkan tren stable berdasarkan aktivitas digital,Netral,5,True,72,Stable,Tier-1 Entity Lookup
ENR-00085-001,SME-2024-00085,2026-06-15,Operasional bisnis berjalan stabil tanpa anomali signifikan,Positif,1,False,71,Stable,Tier-1 Entity Lookup
ENR-00086-001,SME-2024-00086,2026-06-15,Perusahaan Konstruksi menunjukkan tren stable berdasarkan aktivitas digital,Netral,2,True,51,Stable,Tier-2 Sector-Regional Proxy
ENR-00087-001,SME-2024-00087,2026-06-15,Operasional bisnis berjalan stabil tanpa anomali signifikan,Netral,1,False,60,Stable,Tier-2 Sector-Regional Proxy
ENR-00088-001,SME-2024-00088,2026-06-15,Penambahan cabang dan peningkatan aktivitas digital terdeteksi,Negatif,1,False,70,Growing,Tier-1 Entity Lookup
ENR-00089-001,SME-2024-00089,2026-06-15,Operasional bisnis berjalan stabil tanpa anomali signifikan,Positif,0,False,47,Stable,Tier-2 Sector-Regional Proxy
ENR-00090-001,SME-2024-00090,2026-06-15,Ekspansi bisnis dan rekrutmen karyawan baru teramati di semester berjalan,Negatif,3,True,70,Growing,Tier-1 Entity Lookup
ENR-00091-001,SME-2024-00091,2026-06-15,Kolaborasi strategis dengan ekosistem Telkom Group,Netral,2,False,44,Growing,Tier-2 Sector-Regional Proxy
ENR-00092-001,SME-2024-00092,2026-06-15,"Pertumbuhan digital moderat, tidak ada indikator risiko",Netral,0,False,67,Stable,Tier-2 Sector-Regional Proxy
ENR-00093-001,SME-2024-00093,2026-06-15,Kolaborasi strategis dengan ekosistem Telkom Group,Netral,1,False,50,Growing,Tier-2 Sector-Regional Proxy
ENR-00094-001,SME-2024-00094,2026-06-15,Ekspansi bisnis dan rekrutmen karyawan baru teramati di semester berjalan,Netral,0,False,71,Growing,Tier-2 Sector-Regional Proxy
ENR-00095-001,SME-2024-00095,2026-06-15,Perusahaan Media & Kreatif menunjukkan tren stable berdasarkan aktivitas digital,Positif,0,False,56,Stable,Tier-2 Sector-Regional Proxy
ENR-00096-001,SME-2024-00096,2026-06-15,Perusahaan Perdagangan Eceran menunjukkan tren stable berdasarkan aktivitas digital,Netral,0,False,28,Stable,Tier-2 Sector-Regional Proxy
ENR-00097-001,SME-2024-00097,2026-06-15,Operasional bisnis berjalan stabil tanpa anomali signifikan,Positif,2,False,62,Stable,Tier-2 Sector-Regional Proxy
ENR-00098-001,SME-2024-00098,2026-06-15,"Pertumbuhan digital moderat, tidak ada indikator risiko",Netral,0,True,36,Stable,Tier-2 Sector-Regional Proxy
ENR-00099-001,SME-2024-00099,2026-06-15,"Pertumbuhan digital moderat, tidak ada indikator risiko",Positif,2,False,80,Stable,Tier-1 Entity Lookup
ENR-00100-001,SME-2024-00100,2026-06-15,Konten negatif terkait keluhan pelanggan terdeteksi di kanal publik,Negatif,2,False,60,Declining,Tier-2 Sector-Regional Proxy
ENR-00101-001,SME-2024-00101,2026-06-15,Perusahaan Teknologi Informasi menunjukkan tren stable berdasarkan aktivitas digital,Netral,2,True,36,Stable,Tier-2 Sector-Regional Proxy
ENR-00102-001,SME-2024-00102,2026-06-15,Penurunan aktivitas digital dan eksposur publik teramati,Positif,0,False,74,Declining,Tier-2 Sector-Regional Proxy
ENR-00103-001,SME-2024-00103,2026-06-15,Menang tender proyek infrastruktur pemerintah,Netral,2,False,35,Growing,Tier-2 Sector-Regional Proxy
ENR-00104-001,SME-2024-00104,2026-06-15,Operasional bisnis berjalan stabil tanpa anomali signifikan,Positif,0,False,60,Stable,Tier-2 Sector-Regional Proxy
ENR-00105-001,SME-2024-00105,2026-06-15,"Pertumbuhan digital moderat, tidak ada indikator risiko",Netral,3,False,55,Stable,Tier-1 Entity Lookup
ENR-00106-001,SME-2024-00106,2026-06-15,Menang tender proyek infrastruktur pemerintah,Netral,2,False,58,Growing,Tier-1 Entity Lookup
ENR-00107-001,SME-2024-00107,2026-06-15,Menang tender proyek infrastruktur pemerintah,Netral,2,False,49,Growing,Tier-2 Sector-Regional Proxy
ENR-00108-001,SME-2024-00108,2026-06-15,Perusahaan Properti & Real Estate menunjukkan tren stable berdasarkan aktivitas digital,Negatif,0,True,61,Stable,Tier-1 Entity Lookup
ENR-00109-001,SME-2024-00109,2026-06-15,"Pertumbuhan digital moderat, tidak ada indikator risiko",Positif,0,True,47,Stable,Tier-2 Sector-Regional Proxy
ENR-00110-001,SME-2024-00110,2026-06-15,"Pertumbuhan digital moderat, tidak ada indikator risiko",Positif,1,True,38,Stable,Tier-2 Sector-Regional Proxy
ENR-00111-001,SME-2024-00111,2026-06-15,Penambahan cabang dan peningkatan aktivitas digital terdeteksi,Positif,2,True,61,Growing,Tier-1 Entity Lookup
ENR-00112-001,SME-2024-00112,2026-06-15,Penambahan cabang dan peningkatan aktivitas digital terdeteksi,Positif,0,False,65,Growing,Tier-2 Sector-Regional Proxy
ENR-00113-001,SME-2024-00113,2026-06-15,"Pertumbuhan digital moderat, tidak ada indikator risiko",Netral,7,False,54,Stable,Tier-1 Entity Lookup
ENR-00114-001,SME-2024-00114,2026-06-15,Perusahaan Pertanian & Agribisnis menunjukkan tren stable berdasarkan aktivitas digital,Netral,0,False,48,Stable,Tier-2 Sector-Regional Proxy
ENR-00115-001,SME-2024-00115,2026-06-15,Ekspansi bisnis dan rekrutmen karyawan baru teramati di semester berjalan,Negatif,1,False,53,Growing,Tier-2 Sector-Regional Proxy
ENR-00116-001,SME-2024-00116,2026-06-15,"Pertumbuhan digital moderat, tidak ada indikator risiko",Positif,0,False,54,Stable,Tier-2 Sector-Regional Proxy
ENR-00117-001,SME-2024-00117,2026-06-15,Perusahaan Pertanian & Agribisnis menunjukkan tren stable berdasarkan aktivitas digital,Positif,0,False,36,Stable,Tier-2 Sector-Regional Proxy
ENR-00118-001,SME-2024-00118,2026-06-15,Operasional bisnis berjalan stabil tanpa anomali signifikan,Netral,3,False,66,Stable,Tier-2 Sector-Regional Proxy
ENR-00119-001,SME-2024-00119,2026-06-15,"Pertumbuhan digital moderat, tidak ada indikator risiko",Positif,2,False,67,Stable,Tier-1 Entity Lookup
ENR-00120-001,SME-2024-00120,2026-06-15,Konten negatif terkait keluhan pelanggan terdeteksi di kanal publik,Positif,1,False,32,Declining,Tier-2 Sector-Regional Proxy
ENR-00121-001,SME-2024-00121,2026-06-15,Penambahan cabang dan peningkatan aktivitas digital terdeteksi,Negatif,2,False,39,Growing,Tier-2 Sector-Regional Proxy
ENR-00122-001,SME-2024-00122,2026-06-15,Ekspansi bisnis dan rekrutmen karyawan baru teramati di semester berjalan,Positif,1,False,88,Growing,Tier-1 Entity Lookup
ENR-00123-001,SME-2024-00123,2026-06-15,Operasional bisnis berjalan stabil tanpa anomali signifikan,Netral,1,False,54,Stable,Tier-2 Sector-Regional Proxy
ENR-00124-001,SME-2024-00124,2026-06-15,Operasional bisnis berjalan stabil tanpa anomali signifikan,Netral,0,True,26,Stable,Tier-2 Sector-Regional Proxy
ENR-00125-001,SME-2024-00125,2026-06-15,Konten negatif terkait keluhan pelanggan terdeteksi di kanal publik,Netral,0,False,76,Declining,Tier-2 Sector-Regional Proxy
ENR-00126-001,SME-2024-00126,2026-06-15,Operasional bisnis berjalan stabil tanpa anomali signifikan,Positif,0,True,66,Stable,Tier-2 Sector-Regional Proxy
ENR-00127-001,SME-2024-00127,2026-06-15,Menang tender proyek infrastruktur pemerintah,Netral,1,False,39,Growing,Tier-2 Sector-Regional Proxy
ENR-00128-001,SME-2024-00128,2026-06-15,Penambahan cabang dan peningkatan aktivitas digital terdeteksi,Netral,1,False,67,Growing,Tier-2 Sector-Regional Proxy
ENR-00129-001,SME-2024-00129,2026-06-15,Penurunan aktivitas digital dan eksposur publik teramati,Positif,1,False,56,Declining,Tier-2 Sector-Regional Proxy
ENR-00130-001,SME-2024-00130,2026-06-15,"Pertumbuhan digital moderat, tidak ada indikator risiko",Positif,1,False,41,Stable,Tier-2 Sector-Regional Proxy
ENR-00131-001,SME-2024-00131,2026-06-15,"Pertumbuhan digital moderat, tidak ada indikator risiko",Positif,2,False,40,Stable,Tier-2 Sector-Regional Proxy
ENR-00132-001,SME-2024-00132,2026-06-15,Menang tender proyek infrastruktur pemerintah,Negatif,0,True,64,Growing,Tier-2 Sector-Regional Proxy
ENR-00133-001,SME-2024-00133,2026-06-15,Operasional bisnis berjalan stabil tanpa anomali signifikan,Positif,0,True,20,Stable,Tier-2 Sector-Regional Proxy
ENR-00134-001,SME-2024-00134,2026-06-15,Menang tender proyek infrastruktur pemerintah,Positif,2,False,70,Growing,Tier-1 Entity Lookup
ENR-00135-001,SME-2024-00135,2026-06-15,Menang tender proyek infrastruktur pemerintah,Netral,0,True,38,Growing,Tier-2 Sector-Regional Proxy
ENR-00136-001,SME-2024-00136,2026-06-15,Kolaborasi strategis dengan ekosistem Telkom Group,Positif,1,False,86,Growing,Tier-1 Entity Lookup
ENR-00137-001,SME-2024-00137,2026-06-15,Perusahaan Perdagangan Eceran menunjukkan tren stable berdasarkan aktivitas digital,Positif,0,True,52,Stable,Tier-2 Sector-Regional Proxy
ENR-00138-001,SME-2024-00138,2026-06-15,Penambahan cabang dan peningkatan aktivitas digital terdeteksi,Positif,0,True,57,Growing,Tier-2 Sector-Regional Proxy
ENR-00139-001,SME-2024-00139,2026-06-15,Operasional bisnis berjalan stabil tanpa anomali signifikan,Positif,3,False,60,Stable,Tier-2 Sector-Regional Proxy
ENR-00140-001,SME-2024-00140,2026-06-15,Operasional bisnis berjalan stabil tanpa anomali signifikan,Netral,1,False,26,Stable,Tier-2 Sector-Regional Proxy
ENR-00141-001,SME-2024-00141,2026-06-15,Menang tender proyek infrastruktur pemerintah,Positif,2,False,71,Growing,Tier-1 Entity Lookup
ENR-00142-001,SME-2024-00142,2026-06-15,"Pertumbuhan digital moderat, tidak ada indikator risiko",Positif,0,False,45,Stable,Tier-2 Sector-Regional Proxy
ENR-00143-001,SME-2024-00143,2026-06-15,"Pertumbuhan digital moderat, tidak ada indikator risiko",Netral,1,False,68,Stable,Tier-2 Sector-Regional Proxy
ENR-00144-001,SME-2024-00144,2026-06-15,Kolaborasi strategis dengan ekosistem Telkom Group,Positif,0,True,37,Growing,Tier-2 Sector-Regional Proxy
ENR-00145-001,SME-2024-00145,2026-06-15,Kolaborasi strategis dengan ekosistem Telkom Group,Positif,1,False,49,Growing,Tier-2 Sector-Regional Proxy
ENR-00146-001,SME-2024-00146,2026-06-15,Operasional bisnis berjalan stabil tanpa anomali signifikan,Netral,1,True,74,Stable,Tier-1 Entity Lookup
ENR-00147-001,SME-2024-00147,2026-06-15,"Pertumbuhan digital moderat, tidak ada indikator risiko",Netral,3,False,69,Stable,Tier-1 Entity Lookup
ENR-00148-001,SME-2024-00148,2026-06-15,Perusahaan Kuliner & F&B menunjukkan tren stable berdasarkan aktivitas digital,Netral,2,False,78,Stable,Tier-1 Entity Lookup
ENR-00149-001,SME-2024-00149,2026-06-15,Ekspansi bisnis dan rekrutmen karyawan baru teramati di semester berjalan,Positif,2,False,68,Growing,Tier-2 Sector-Regional Proxy
ENR-00150-001,SME-2024-00150,2026-06-15,Perusahaan Transportasi & Logistik menunjukkan tren stable berdasarkan aktivitas digital,Positif,1,False,44,Stable,Tier-2 Sector-Regional Proxy
ENR-00151-001,SME-2024-00151,2026-06-15,"Pertumbuhan digital moderat, tidak ada indikator risiko",Netral,0,False,47,Stable,Tier-2 Sector-Regional Proxy
ENR-00152-001,SME-2024-00152,2026-06-15,Perusahaan Pertanian & Agribisnis menunjukkan tren stable berdasarkan aktivitas digital,Netral,2,False,42,Stable,Tier-2 Sector-Regional Proxy
ENR-00153-001,SME-2024-00153,2026-06-15,Perusahaan Pertanian & Agribisnis menunjukkan tren stable berdasarkan aktivitas digital,Netral,1,True,50,Stable,Tier-2 Sector-Regional Proxy
ENR-00154-001,SME-2024-00154,2026-06-15,Perusahaan Manufaktur menunjukkan tren stable berdasarkan aktivitas digital,Negatif,0,False,48,Stable,Tier-2 Sector-Regional Proxy
ENR-00155-001,SME-2024-00155,2026-06-15,Perusahaan Media & Kreatif menunjukkan tren stable berdasarkan aktivitas digital,Positif,2,False,78,Stable,Tier-1 Entity Lookup
ENR-00156-001,SME-2024-00156,2026-06-15,Penambahan cabang dan peningkatan aktivitas digital terdeteksi,Netral,1,True,32,Growing,Tier-2 Sector-Regional Proxy
ENR-00157-001,SME-2024-00157,2026-06-15,Menang tender proyek infrastruktur pemerintah,Positif,1,False,40,Growing,Tier-2 Sector-Regional Proxy
ENR-00158-001,SME-2024-00158,2026-06-15,Operasional bisnis berjalan stabil tanpa anomali signifikan,Positif,0,False,54,Stable,Tier-2 Sector-Regional Proxy
ENR-00159-001,SME-2024-00159,2026-06-15,Kolaborasi strategis dengan ekosistem Telkom Group,Positif,1,False,81,Growing,Tier-2 Sector-Regional Proxy
ENR-00160-001,SME-2024-00160,2026-06-15,Operasional bisnis berjalan stabil tanpa anomali signifikan,Netral,0,False,48,Stable,Tier-2 Sector-Regional Proxy
ENR-00161-001,SME-2024-00161,2026-06-15,"Pertumbuhan digital moderat, tidak ada indikator risiko",Negatif,0,False,48,Stable,Tier-2 Sector-Regional Proxy
