customer_id,company_name,business_sector,region,segment,company_scale,employee_count,tenure_years,total_mrr,product_count,months_available,potential_score,stability_score,churn_risk_index,assigned_score,score_category,confidence_score,priority_score,primary_action,secondary_action,timing,channel,expected_success_rate,rationale
SME-2024-00011,Toko Abadi Bahagia,Pendidikan & Training,Jakarta,Pelanggan Tetap,Kecil,16,1.5916666666666668,923738.0,1.0,12,40.3,67.0,24.2,67.0,Stable,85,0.194,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00012,CV Citra Data,Kuliner & F&B,Malang,Pelanggan Tetap,Menengah,56,5.8500000000000005,2250073.0,1.0,12,72.2,80.1,11.7,80.1,Highly Stable,85,0.169,Upsell Premium Services,Invite to beta program / exclusive features,Quarterly business review,Executive Visit + Proposal,65,Strong loyalty foundation. Maximize lifetime value through expansion.
SME-2024-00013,Toko Berkah Persada Mandiri,Kuliner & F&B,Medan,Pelanggan Tetap,Kecil,7,5.541666666666667,1136452.0,1.0,12,57.3,80.7,16.7,80.7,Highly Stable,85,0.132,Upsell Premium Services,Invite to beta program / exclusive features,Quarterly business review,Executive Visit + Proposal,65,Strong loyalty foundation. Maximize lifetime value through expansion.
SME-2024-00014,PT Mega Indah Mandiri,Manufaktur,Palembang,Pelanggan Tetap,Menengah,34,2.0416666666666665,10612688.0,2.0,12,74.1,65.1,25.4,65.1,Stable,85,0.504,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00015,Warung Sentosa Solusi Pratama,Pertanian & Agribisnis,Tangerang,Pelanggan Tetap,Mikro,4,1.7416666666666665,8556852.0,1.0,12,56.5,74.8,20.6,74.8,Stable,85,0.392,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00016,PT Duta Cemerlang Lestari,Transportasi & Logistik,Palembang,Pelanggan Tetap,Menengah,51,2.9166666666666665,4178424.0,2.0,12,57.4,71.3,22.0,71.3,Stable,85,0.273,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00017,UD Bumi Optima Sentosa,Pendidikan & Training,Medan,Pelanggan Tetap,Kecil,10,4.25,1434668.0,1.0,12,48.5,79.1,19.0,79.1,Stable,85,0.149,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00018,UD Surya Indah Sentosa,Pertanian & Agribisnis,Malang,Pelanggan Tetap,Kecil,13,5.333333333333333,1930289.0,1.0,12,67.8,87.5,12.8,87.5,Highly Stable,85,0.122,Upsell Premium Services,Invite to beta program / exclusive features,Quarterly business review,Executive Visit + Proposal,65,Strong loyalty foundation. Maximize lifetime value through expansion.
SME-2024-00019,CV Karya Makmur,Properti & Real Estate,Semarang,Pelanggan Tetap,Kecil,15,5.5249999999999995,1989647.0,1.0,12,53.8,82.5,14.3,82.5,Highly Stable,82,0.149,Upsell Premium Services,Invite to beta program / exclusive features,Quarterly business review,Executive Visit + Proposal,65,Strong loyalty foundation. Maximize lifetime value through expansion.
SME-2024-00020,Toko Bumi Mulia,Kesehatan,Jakarta,Pelanggan Tetap,Kecil,20,5.3,1220444.0,1.0,12,52.3,75.2,22.3,75.2,Stable,85,0.162,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00021,CV Tirta Andalan Pratama,Properti & Real Estate,Semarang,Pelanggan Tetap,Kecil,6,6.491666666666667,6147618.0,2.0,12,59.1,75.8,18.7,75.8,Stable,82,0.311,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00022,CV Tirta Teknologi Abadi,Kesehatan,Jakarta,Pelanggan Tetap,Kecil,11,5.825,5501919.0,2.0,12,44.2,74.4,23.0,74.4,Stable,85,0.299,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00023,Warung Mitra Mulia Abadi,Teknologi Informasi,Jakarta,Pelanggan Tetap,Mikro,4,5.416666666666667,2458722.0,1.0,12,30.2,76.0,19.3,76.0,Stable,82,0.196,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00024,UD Jaya Pratama Pratama,Kuliner & F&B,Makassar,Pelanggan Tetap,Mikro,3,2.0166666666666666,6506308.0,1.0,12,50.3,71.6,19.6,71.6,Stable,85,0.344,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00025,CV Jaya Data Lestari,Teknologi Informasi,Batam,Pelanggan Tetap,Menengah,78,3.283333333333333,4220646.0,2.0,12,70.1,75.7,18.2,75.7,Stable,82,0.252,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00026,Warung Garuda Andalan,Manufaktur,Surabaya,Pelanggan Tetap,Mikro,1,2.8166666666666664,4422938.0,1.0,12,47.8,65.9,21.5,65.9,Stable,85,0.308,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00027,CV Surya Network,Transportasi & Logistik,Bandung,Pelanggan Tetap,Kecil,7,5.091666666666667,5188679.0,1.0,12,44.9,81.7,16.1,81.7,Highly Stable,85,0.252,Upsell Premium Services,Invite to beta program / exclusive features,Quarterly business review,Executive Visit + Proposal,65,Strong loyalty foundation. Maximize lifetime value through expansion.
SME-2024-00028,Kios Tirta Teknologi Jaya,Manufaktur,Batam,Pelanggan Tetap,Mikro,5,6.066666666666666,4415014.0,1.0,12,60.7,88.0,13.2,88.0,Highly Stable,85,0.197,Upsell Premium Services,Invite to beta program / exclusive features,Quarterly business review,Executive Visit + Proposal,65,Strong loyalty foundation. Maximize lifetime value through expansion.
SME-2024-00029,PT Karya Makmur Mandiri,Konstruksi,Palembang,Pelanggan Tetap,Menengah,43,2.5833333333333335,1628926.0,1.0,12,67.1,62.0,39.5,62.0,Stable,85,0.241,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00030,Toko Tirta Sakti Pratama,Teknologi Informasi,Bandar Lampung,Pelanggan Tetap,Kecil,8,1.7583333333333335,4997032.0,3.0,12,35.4,74.5,15.3,74.5,Stable,85,0.283,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00031,CV Bukit Digital Abadi,Properti & Real Estate,Surabaya,Pelanggan Tetap,Kecil,7,3.725,4577555.0,2.0,12,48.5,85.9,14.6,85.9,Highly Stable,85,0.212,Upsell Premium Services,Invite to beta program / exclusive features,Quarterly business review,Executive Visit + Proposal,65,Strong loyalty foundation. Maximize lifetime value through expansion.
SME-2024-00032,CV Mandiri Persada Sentosa,Properti & Real Estate,Semarang,Pelanggan Tetap,Kecil,8,3.7083333333333335,2353943.0,1.0,12,60.0,75.1,17.3,75.1,Stable,85,0.198,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00033,Toko Tirta Persada Pratama,Kuliner & F&B,Palembang,Pelanggan Tetap,Kecil,11,2.7583333333333333,0.0,,12,66.0,70.5,14.2,70.5,Stable,80,0.148,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00034,UD Garuda Sakti Mandiri,Perdagangan Eceran,Medan,Pelanggan Tetap,Mikro,5,2.091666666666667,15430423.0,3.0,12,48.0,60.8,25.0,60.8,Stable,85,0.674,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00035,CV Sumber Sinergi Pratama,Pertanian & Agribisnis,Jakarta,Pelanggan Tetap,Kecil,5,4.808333333333334,481664.0,1.0,12,57.5,76.6,17.4,76.6,Stable,85,0.132,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00036,Toko Mega Lestari Mandiri,Pertanian & Agribisnis,Malang,Pelanggan Tetap,Mikro,5,6.316666666666666,1082303.0,1.0,12,44.9,72.3,22.3,72.3,Stable,85,0.172,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00037,PT Berkah Persada Pratama,Teknologi Informasi,Yogyakarta,Pelanggan Tetap,Menengah,51,4.158333333333333,2811704.0,1.0,12,48.2,69.3,19.5,69.3,Stable,85,0.24,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00038,PT Bumi Makmur Sentosa,Pendidikan & Training,Bandung,Pelanggan Tetap,Menengah,51,3.1916666666666664,10459989.0,2.0,12,63.3,76.2,17.0,76.2,Stable,85,0.443,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00039,Toko Bumi Teknologi Abadi,Transportasi & Logistik,Bandung,Pelanggan Tetap,Kecil,5,4.566666666666666,4393189.0,3.0,12,64.4,78.1,12.1,78.1,Stable,82,0.246,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00040,UD Bumi Makmur Abadi,Perdagangan Eceran,Palembang,Pelanggan Tetap,Mikro,5,2.591666666666667,7626281.0,2.0,12,53.1,76.7,22.8,76.7,Stable,85,0.353,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00041,Kios Permata Andalan Jaya,Transportasi & Logistik,Batam,Pelanggan Tetap,Mikro,4,2.875,2551244.0,1.0,12,54.4,83.4,11.9,83.4,Highly Stable,85,0.162,Upsell Premium Services,Invite to beta program / exclusive features,Quarterly business review,Executive Visit + Proposal,65,Strong loyalty foundation. Maximize lifetime value through expansion.
SME-2024-00042,CV Garuda Solusi Pratama,Pertanian & Agribisnis,Bandung,Pelanggan Tetap,Menengah,34,3.766666666666667,4047935.0,1.0,12,61.2,73.0,18.7,73.0,Stable,85,0.261,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00043,CV Nusantara Mulia Pratama,Pertanian & Agribisnis,Yogyakarta,Pelanggan Tetap,Kecil,8,4.558333333333334,6119888.0,1.0,12,58.0,81.8,14.7,81.8,Highly Stable,82,0.281,Upsell Premium Services,Invite to beta program / exclusive features,Quarterly business review,Executive Visit + Proposal,65,Strong loyalty foundation. Maximize lifetime value through expansion.
SME-2024-00044,PT Nusantara Andalan Lestari,Jasa Keuangan,Surabaya,Pelanggan Tetap,Menengah,49,3.216666666666667,7527554.0,2.0,12,76.7,78.8,18.8,78.8,Stable,82,0.34,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00045,Kios Abadi Utama Pratama,Kuliner & F&B,Surabaya,Pelanggan Tetap,Mikro,2,6.033333333333334,10443640.0,2.0,12,53.8,90.1,12.6,90.1,Highly Stable,85,0.373,Upsell Premium Services,Invite to beta program / exclusive features,Quarterly business review,Executive Visit + Proposal,65,Strong loyalty foundation. Maximize lifetime value through expansion.
SME-2024-00046,CV Nusantara Optima Lestari,Media & Kreatif,Medan,Pelanggan Tetap,Menengah,80,5.0249999999999995,7309254.0,2.0,12,69.0,74.2,21.7,74.2,Stable,85,0.355,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00047,CV Berkah Mulia Abadi,Kesehatan,Medan,Pelanggan Tetap,Kecil,10,4.208333333333333,2966647.0,2.0,12,53.9,86.5,13.0,86.5,Highly Stable,85,0.16,Upsell Premium Services,Invite to beta program / exclusive features,Quarterly business review,Executive Visit + Proposal,65,Strong loyalty foundation. Maximize lifetime value through expansion.
SME-2024-00048,Warung Tirta Digital Sentosa,Pertanian & Agribisnis,Yogyakarta,Pelanggan Tetap,Mikro,4,2.716666666666667,4819505.0,1.0,12,54.6,74.2,17.9,74.2,Stable,85,0.279,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00049,Warung Mandiri Persada Sentosa,Manufaktur,Yogyakarta,Pelanggan Tetap,Mikro,2,2.4499999999999997,10179539.0,2.0,12,55.4,80.2,14.1,80.2,Highly Stable,85,0.415,Upsell Premium Services,Invite to beta program / exclusive features,Quarterly business review,Executive Visit + Proposal,65,Strong loyalty foundation. Maximize lifetime value through expansion.
SME-2024-00050,UD Sriwijaya Bahagia Abadi,Kesehatan,Semarang,Pelanggan Tetap,Kecil,20,2.6833333333333336,926932.0,1.0,12,58.1,86.4,10.3,86.4,Highly Stable,85,0.097,Upsell Premium Services,Invite to beta program / exclusive features,Quarterly business review,Executive Visit + Proposal,65,Strong loyalty foundation. Maximize lifetime value through expansion.
SME-2024-00051,CV Sumber Data,Kesehatan,Tangerang,Pelanggan Tetap,Menengah,51,2.8333333333333335,3877159.0,1.0,12,66.0,73.1,19.7,73.1,Stable,85,0.255,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00052,CV Berkah Persada Jaya,Kuliner & F&B,Malang,Pelanggan Tetap,Menengah,62,3.3666666666666667,2937327.0,1.0,12,63.8,79.8,16.9,79.8,Stable,85,0.192,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00053,PT Nusantara Bahagia Mandiri,Pendidikan & Training,Jakarta,Pelanggan Tetap,Menengah,32,2.2583333333333333,1427260.0,1.0,12,71.8,66.0,24.1,66.0,Stable,85,0.214,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00054,Warung Bukit Makmur,Media & Kreatif,Tangerang,Pelanggan Tetap,Mikro,5,1.7249999999999999,1516794.0,1.0,12,57.3,78.3,14.5,78.3,Stable,82,0.155,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00055,PT Karya Indah Pratama,Manufaktur,Bandung,Pelanggan Tetap,Menengah,94,5.6499999999999995,2344606.0,1.0,12,76.6,74.2,24.7,74.2,Stable,85,0.202,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00056,PT Mandiri Bahagia Lestari,Jasa Keuangan,Batam,Pelanggan Tetap,Menengah,83,3.9916666666666667,8059901.0,1.0,12,62.9,75.3,18.8,75.3,Stable,82,0.373,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00057,UD Tirta Indah,Pendidikan & Training,Semarang,Pelanggan Tetap,Kecil,9,6.291666666666667,6711913.0,2.0,12,41.4,65.9,24.7,65.9,Stable,85,0.379,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00058,Warung Berkah Utama Sentosa,Transportasi & Logistik,Tangerang,Pelanggan Tetap,Mikro,4,1.6416666666666666,5433646.0,2.0,12,53.5,69.0,18.6,69.0,Stable,85,0.323,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00059,PT Garuda Solusi Pratama,Perdagangan Eceran,Tangerang,Pelanggan Tetap,Menengah,38,2.6916666666666664,2320159.0,1.0,12,63.6,73.5,17.3,73.5,Stable,85,0.204,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00060,Toko Sriwijaya Sinergi Abadi,Transportasi & Logistik,Malang,Pelanggan Tetap,Mikro,3,4.466666666666667,6894319.0,1.0,12,59.8,79.4,16.2,79.4,Stable,85,0.317,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00061,CV Mandiri Data Jaya,Jasa Keuangan,Makassar,Pelanggan Tetap,Kecil,9,1.7750000000000001,903596.0,1.0,12,51.5,70.2,20.6,70.2,Stable,85,0.177,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00062,CV Berkah Cemerlang Mandiri,Transportasi & Logistik,Denpasar,Pelanggan Tetap,Kecil,16,3.533333333333333,5325505.0,2.0,12,47.6,77.7,20.8,77.7,Stable,85,0.277,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00063,CV Jaya Indah Sentosa,Manufaktur,Malang,Pelanggan Tetap,Kecil,14,4.741666666666666,11085764.0,2.0,12,64.2,73.2,19.1,73.2,Stable,85,0.477,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00064,UD Abadi Pratama Sentosa,Konstruksi,Denpasar,Pelanggan Tetap,Kecil,20,6.05,8266468.0,2.0,12,52.6,74.3,16.4,74.3,Stable,85,0.385,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00065,PT Sentosa Optima Pratama,Perdagangan Eceran,Semarang,Pelanggan Tetap,Menengah,50,4.466666666666667,3058165.0,1.0,12,73.0,82.0,12.2,82.0,Highly Stable,82,0.185,Upsell Premium Services,Invite to beta program / exclusive features,Quarterly business review,Executive Visit + Proposal,65,Strong loyalty foundation. Maximize lifetime value through expansion.
SME-2024-00066,Toko Bumi Sinergi,Pertanian & Agribisnis,Medan,Pelanggan Tetap,Kecil,17,5.516666666666667,1632018.0,1.0,12,45.2,64.6,20.4,64.6,Stable,85,0.228,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00067,Kios Nusantara Utama,Pertanian & Agribisnis,Denpasar,Pelanggan Tetap,Mikro,5,2.533333333333333,5863752.0,2.0,12,57.7,82.3,11.8,82.3,Highly Stable,82,0.271,Upsell Premium Services,Invite to beta program / exclusive features,Quarterly business review,Executive Visit + Proposal,65,Strong loyalty foundation. Maximize lifetime value through expansion.
SME-2024-00068,UD Citra Lestari Lestari,Properti & Real Estate,Malang,Pelanggan Tetap,Mikro,4,1.6333333333333335,7694504.0,2.0,12,62.7,80.2,12.0,80.2,Highly Stable,82,0.338,Upsell Premium Services,Invite to beta program / exclusive features,Quarterly business review,Executive Visit + Proposal,65,Strong loyalty foundation. Maximize lifetime value through expansion.
SME-2024-00069,PT Surya Pratama Pratama,Kesehatan,Medan,Pelanggan Tetap,Besar,119,6.083333333333333,5924146.0,1.0,12,77.7,75.3,17.5,75.3,Stable,85,0.307,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00070,Toko Duta Persada Lestari,Properti & Real Estate,Jakarta,Pelanggan Tetap,Mikro,1,4.991666666666666,9501404.0,2.0,12,57.8,81.9,15.8,81.9,Highly Stable,85,0.385,Upsell Premium Services,Invite to beta program / exclusive features,Quarterly business review,Executive Visit + Proposal,65,Strong loyalty foundation. Maximize lifetime value through expansion.
SME-2024-00071,CV Bintang Sakti Abadi,Manufaktur,Bandar Lampung,Pelanggan Tetap,Menengah,27,3.3249999999999997,835386.0,1.0,12,56.1,68.9,18.9,68.9,Stable,85,0.181,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00072,CV Karya Sejahtera Mandiri,Media & Kreatif,Malang,Pelanggan Tetap,Kecil,5,4.1000000000000005,11498892.0,2.0,12,47.9,64.6,21.7,64.6,Stable,85,0.534,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00073,UD Sumber Optima Sentosa,Kesehatan,Semarang,Pelanggan Tetap,Mikro,2,4.9750000000000005,3505735.0,1.0,12,58.8,77.4,15.3,77.4,Stable,85,0.222,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00074,UD Bumi Network Mandiri,Kesehatan,Batam,Pelanggan Tetap,Kecil,11,4.291666666666667,4809768.0,2.0,12,37.2,70.0,21.9,70.0,Stable,85,0.299,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00075,UD Duta Solusi Mandiri,Perdagangan Eceran,Jakarta,Pelanggan Tetap,Kecil,19,5.05,2996997.0,1.0,12,60.7,77.6,16.5,77.6,Stable,85,0.205,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00076,CV Permata Persada Abadi,Konstruksi,Makassar,Pelanggan Tetap,Kecil,19,4.55,7351121.0,2.0,12,60.6,69.9,20.0,69.9,Stable,85,0.379,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00077,Kios Tirta Pratama,Transportasi & Logistik,Medan,Pelanggan Tetap,Mikro,5,3.5833333333333335,3141093.0,1.0,12,46.1,79.2,15.5,79.2,Stable,85,0.201,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00078,UD Bumi Sinergi Jaya,Kesehatan,Yogyakarta,Pelanggan Tetap,Kecil,13,4.491666666666666,6946654.0,2.0,12,50.2,81.0,13.2,81.0,Highly Stable,85,0.31,Upsell Premium Services,Invite to beta program / exclusive features,Quarterly business review,Executive Visit + Proposal,65,Strong loyalty foundation. Maximize lifetime value through expansion.
SME-2024-00079,UD Mandiri Persada Jaya,Pendidikan & Training,Tangerang,Pelanggan Tetap,Mikro,2,6.466666666666666,1279714.0,1.0,12,57.6,73.6,19.8,73.6,Stable,85,0.171,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00080,UD Mitra Makmur Mandiri,Kuliner & F&B,Palembang,Pelanggan Tetap,Kecil,5,2.2083333333333335,2146413.0,1.0,12,48.5,67.5,35.7,67.5,Stable,85,0.229,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00081,CV Tirta Data,Kesehatan,Makassar,Pelanggan Tetap,Kecil,9,4.841666666666667,5590382.0,1.0,12,57.3,65.8,21.7,65.8,Stable,85,0.344,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00082,Toko Sentosa Lestari Pratama,Media & Kreatif,Makassar,Pelanggan Tetap,Kecil,6,3.6833333333333336,1251624.0,1.0,12,45.0,71.5,19.9,71.5,Stable,85,0.182,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
